name;entrada;stock_actual;pcm_actual;consumo_prod;consumo_vent;entrada_kg;entrada_eur;calc_kg;calc_eur
FTE. POTON;Fecha 2025-06-14 situacion actual;163805,0;4,072583141540246;;;;;;
FTE. POTON;Fecha 2025-06-17 Art. 40095 EXP MEDU9635160 240;;;;;14220,0;4,057681980441983;178025,0;4,071392890110293
FTE. POTON;Fecha 2025-06-17 Art. 40096 EXP MEDU9635160 240;;;;;1980,0;4,057680573972222;180005,0;4,071242058822532
FTE. POTON;Fecha 2025-06-22 Art. 40295 EXP CHIU9049420 224;;;;;26662,5;3,9886420692644395;206667,5;4,060585703945289
FTE. POTON;Fecha 2025-06-23 Art. 40295 EXP CXRU1433525 231;;;;;13000,0;4,194962197675385;219667,5;4,068538152161303
FTE. POTON;Fecha 2025-06-25 Art. 40096 EXP MEDU9143598 143;;;;;24000,0;4,35792666868;243667,5;4,097041437976805
FTE. POTON;Fecha 2025-06-30 Resultado mes;;;;61265,16666666667;;;182402,3333333333;4,097041437976805
FTE. POTON;Fecha 2025-07-03 Art. 40095 EXP MEDU9685881 251;;;;;18700,0;4,080681881161765;201102,3333333333;4,095520203949479
FTE. POTON;Fecha 2025-07-03 Art. 40096 EXP MEDU9685881 251;;;;;2560,0;4,080681008;203662,3333333333;4,095333677845172
FTE. POTON;Fecha 2025-07-05 Art. 40095 EXP SZLU9055727 168;;;;;27000,0;4,299329223827778;230662,3333333333;4,119212217795476
FTE. POTON;Fecha 2025-07-05 Art. 40095 EXP TTNU8712057 229;;;;;14260,0;4,012902233156073;244922,3333333333;4,113022580614065
FTE. POTON;Fecha 2025-07-05 Art. 40295 EXP TTNU8712057 229;;;;;8140,0;4,01290186787941;253062,3333333333;4,1098020989606905
FTE. POTON;Fecha 2025-07-06 Art. 40295 EXP MNBU3361823 221;;;;;27000,0;3,944058418188889;280062,3333333333;4,0938232298011865
FTE. POTON;Fecha 2025-07-12 Art. 40095 EXP MSDU9825511 216;;;;;14000,0;4,0703241145051425;294062,3333333333;4,092704461510071
FTE. POTON;Fecha 2025-07-31 Resultado mes;;;;78440,0;;;215622,3333333333;4,092704461510071
FTE. POTON;Fecha 2025-08-31 Resultado mes;;;;75803,0;;;139819,3333333333;4,092704461510071
FTE. POTON;Fecha 2025-09-30 Resultado mes;;;;96895,0;;;42924,333333333314;4,092704461510071
MINCED;Fecha 2025-06-14 situacion actual;110670,0;1,792684555435077;;;;;;
MINCED;Fecha 2025-06-30 Resultado mes;;;;11885,266666666666;;;98784,73333333334;1,792684555435077
MINCED;Fecha 2025-07-31 Resultado mes;;;;24687,0;;;74097,73333333334;1,792684555435077
MINCED;Fecha 2025-08-31 Resultado mes;;;;16507,0;;;57590,73333333334;1,792684555435077
MINCED;Fecha 2025-09-30 Resultado mes;;;;12298,5;;;45292,23333333334;1,792684555435077
FISH BLOCK;Fecha 2025-06-14 situacion actual;120,0;3,8907;;;;;;
FISH BLOCK;Fecha 2025-06-30 Resultado mes;;;;;;;120,0;3,8907
FISH BLOCK;Fecha 2025-07-31 Resultado mes;;;;1433,0;;;;3,8907
FISH BLOCK;Fecha 2025-08-31 Resultado mes;;;;3046,0;;;;3,8907
FISH BLOCK;Fecha 2025-09-30 Resultado mes;;;;882,0;;;;3,8907
