name;entrada;stock_actual;pcm_actual;consumo_prod;consumo_vent;entrada_kg;entrada_eur;calc_kg;calc_eur
FTE. POTON;Fecha 2025-06-14 situacion actual;167127,0;4,078584729576908;;;;;;
FTE. POTON;Fecha 2025-06-04 Art. 41478 PED 581 ;;;;;2800,0;3,58;169927,0;4,0703692179583
FTE. POTON;Fecha 2025-06-04 Art. 41478 PED 581 ;;;;;2820,0;3,58;172747,0;4,062364209508703
FTE. POTON;Fecha 2025-06-17 Art. 40095 EXP MEDU9635160 240;;;;;14220,0;4,057681980441983;186967,0;4,0620080969469745
FTE. POTON;Fecha 2025-06-17 Art. 40096 EXP MEDU9635160 240;;;;;1980,0;4,057680573972222;188947,0;4,061962748275177
FTE. POTON;Fecha 2025-06-22 Art. 40295 EXP CHIU9049420 224;;;;;26662,5;3,9886420692644395;215609,5;4,05289583515621
FTE. POTON;Fecha 2025-06-23 Art. 40295 EXP CXRU1433525 231;;;;;13000,0;4,194962197675385;228609,5;4,0609745139195565
FTE. POTON;Fecha 2025-06-23 Art. 41478 EXP CXRU1433525 231;;;;;13000,0;3,6612282320923075;241609,5;4,039465832912583
FTE. POTON;Fecha 2025-06-25 Art. 40096 EXP MEDU9143598 143;;;;;24000,0;4,35792666868;265609,5;4,068241385211797
FTE. POTON;Fecha 2025-06-30 Resultado mes;;;;61265,16666666667;;;204344,3333333333;4,068241385211797
FTE. POTON;Fecha 2025-07-03 Art. 40095 EXP MEDU9685881 251;;;;;18700,0;4,080681881161765;223044,3333333333;4,0692843943337405
FTE. POTON;Fecha 2025-07-03 Art. 40096 EXP MEDU9685881 251;;;;;2560,0;4,080681008;225604,3333333333;4,069413715125387
FTE. POTON;Fecha 2025-07-05 Art. 40095 EXP SZLU9055727 168;;;;;27000,0;4,299329223827778;252604,3333333333;4,093988585449456
FTE. POTON;Fecha 2025-07-05 Art. 40095 EXP TTNU8712057 229;;;;;14260,0;4,012902233156073;266864,3333333333;4,089655704508565
FTE. POTON;Fecha 2025-07-05 Art. 40295 EXP TTNU8712057 229;;;;;8140,0;4,01290186787941;275004,3333333333;4,087383826743628
FTE. POTON;Fecha 2025-07-06 Art. 40295 EXP MNBU3361823 221;;;;;27000,0;3,944058418188889;302004,3333333333;4,07457014957461
FTE. POTON;Fecha 2025-07-12 Art. 40095 EXP MSDU9825511 216;;;;;14000,0;4,0703241145051425;316004,3333333333;4,074382036676456
FTE. POTON;Fecha 2025-07-31 Resultado mes;;;;78440,0;;;237564,3333333333;4,074382036676456
FTE. POTON;Fecha 2025-08-31 Resultado mes;;;;76596,0;;;160968,3333333333;4,074382036676456
FTE. POTON;Fecha 2025-09-30 Resultado mes;;;;97015,0;;;63953,333333333314;4,074382036676456
MINCED;Fecha 2025-06-14 situacion actual;110805,0;1,7939118248273993;;;;;;
MINCED;Fecha 2025-06-30 Resultado mes;;;;11885,266666666666;;;98919,73333333334;1,7939118248273993
MINCED;Fecha 2025-07-31 Resultado mes;;;;24687,0;;;74232,73333333334;1,7939118248273993
MINCED;Fecha 2025-08-31 Resultado mes;;;;16507,0;;;57725,73333333334;1,7939118248273993
MINCED;Fecha 2025-09-30 Resultado mes;;;;12298,5;;;45427,23333333334;1,7939118248273993
FISH BLOCK;Fecha 2025-06-14 situacion actual;21129,5;2,9834193000307625;;;;;;
FISH BLOCK;Fecha 2025-06-30 Resultado mes;;;;63,75;;;21065,75;2,9834193000307625
FISH BLOCK;Fecha 2025-07-31 Resultado mes;;;;3640,0;;;17425,75;2,9834193000307625
FISH BLOCK;Fecha 2025-08-31 Resultado mes;;;;7807,5;;;9618,25;2,9834193000307625
FISH BLOCK;Fecha 2025-09-30 Resultado mes;;;;1182,0;;;8436,25;2,9834193000307625
