article_name;fecha;kg_act;price_act
FISH BLOCK;2025-06-14;21065,75;2,9834193000307625
FISH BLOCK;2025-06-30;17425,75;2,9834193000307625
FISH BLOCK;2025-07-31;9618,25;2,9834193000307625
FISH BLOCK;2025-08-31;8436,25;2,9834193000307625
FTE. POTON;2025-06-14;204344,3333333333;4,068241385211798
FTE. POTON;2025-06-30;237564,3333333333;4,074382036676456
FTE. POTON;2025-07-31;160968,3333333333;4,074382036676456
FTE. POTON;2025-08-31;63953,333333333314;4,074382036676456
MINCED;2025-06-14;98919,73333333334;1,7939118248273993
MINCED;2025-06-30;74232,73333333334;1,7939118248273993
MINCED;2025-07-31;57725,73333333334;1,7939118248273993
MINCED;2025-08-31;45427,23333333334;1,7939118248273993
